t_index term df
1548 buddhist 1
1549 buddi 1
1550 budget 9
1551 budnev 1
1552 budor 1
1553 budsmen 1
1554 budva 1
1555 bueni 1
1556 buf 4
1557 buff 4
1558 buffalo 3
1559 buffer 1
1560 bug 5
1561 bugss 1
1562 build 169
1563 builder 6
1564 buildup 2
1565 built 27
1566 bulatov 7
1567 bulg 1
1568 bulgaria 3
1569 bulk 4
1570 bulkhead 4
1571 bulki 1
1572 bulldoz 25
1573 bullet 8
1574 bulletin 3
1575 bulletproof 5
1576 bulli 3
1577 bullzdoz 1
1578 bum 1
1579 bump 2
1580 bumper 4
1581 bumpi 1
1582 bunch 5
1583 bundl 1
1584 bungl 6
1585 bunk 4
1586 bunker 7
1587 bunkroom 1
1588 bunt 1
1589 buoy 7
1590 buraika 1
1591 burch 1
1592 burden 7
1593 bureau 33
1594 bureaucraci 4
1595 bureaucrat 7
1596 burglar 7
1597 burglari 8
1598 burgsmul 2
1599 buri 85
1600 burial 13
1601 burk 3
1602 burkeclass 2
1603 burkhard 1
1604 burkina 8
1605 burkinab 1
1606 burkl 5
1607 burli 4
1608 burn 46
1609 burnedout 3
1610 burner 2
1611 burnt 3
1612 burri 1
1613 burst 10
1614 burton 5
1615 buse 19
1616 bush 98
1617 bushcheney 2
1618 bushgor 1
1619 bushnel 1
1620 bushquail 1
1621 bushybeard 1
1622 busi 90
1623 busiest 1
1624 busili 1
1625 businessman 54
1626 businessmen 5
1627 buss 1
1628 bust 7
1629 bustamant 1
1630 bustl 4
1631 butcher 4
1632 butter 1
1633 button 3
1634 buttress 5
1635 buy 44
1636 buyer 2
1637 buzz 6
1638 bye 1
1639 byfeet 1
1640 byfoot 15
1641 bypass 5
1642 byrd 6
1643 c 32
1644 ca 1
1645 cab 2
1646 cabana 1
1647 cabin 2
1648 cabinet 31
1649 cabl 5
1650 cacak 8
1651 cach 2
1652 cadav 1
1653 cadet 1
1654 caeti 1
1655 cafe 4
1656 cafetalon 1
1657 cafeteria 1
1658 cage 5
